-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: latitude  39.9042   longitude 116.4074 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 221.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,QUALITY_FLAG
2024,1,1,-4.51,79.11,0.0,1.4016,ok
2024,1,2,-3.21,62.89,0.0,1.4678,ok
2024,1,3,-3.09,57.5,0.0,2.5709,ok
2024,1,4,-2.18,60.14,0.0,2.1396,ok
2024,1,5,-2.93,58.27,0.0,2.3222,ok
2024,1,6,-5.14,48.22,0.0,2.8207,ok
2024,1,7,-7.84,53.43,0.0,2.6441,ok
2024,1,8,-5.32,68.54,0.0,1.9603,ok
2024,1,9,-2.15,53.53,0.16,2.1557,ok
2024,1,10,-4.59,64.96,0.0,2.3326,ok
2024,1,11,-0.45,58.53,0.0,2.3304,ok
2024,1,12,-0.94,57.77,0.0,2.1413,ok
2024,1,13,-3.06,71.89,0.0,0.8856,ok
2024,1,14,-3.85,38.9,0.0,2.8894,ok
2024,1,15,-5.02,50.32,0.0,2.8512,ok
2024,1,16,-3.62,73.27,0.07,1.3037,ok
2024,1,17,,81.27,0.55,0.8184,missing_temp
2024,1,18,-3.16,57.01,0.01,1.9692,ok
2024,1,19,-4.95,58.47,0.25,1.9954,ok
2024,1,20,-6.17,61.22,0.5,2.0311,ok
2024,1,21,-10.72,38.29,0.0,3.2328,ok
2024,1,22,-10.7,41.57,0.0,3.2287,ok
2024,1,23,-8.33,42.86,0.0,3.1898,ok
2024,1,24,-4.64,49.72,0.0,3.1337,ok
2024,1,25,-3.6,41.78,0.0,2.9287,ok
2024,1,26,-3.61,41.43,0.0,3.1766,ok
2024,1,27,-4.86,46.82,0.0,3.0691,ok
2024,1,28,-3.45,49.32,0.0,3.0365,ok
2024,1,29,-4.28,60.49,0.0,2.2512,ok
2024,1,30,-5.17,81.03,0.0,0.9214,ok
2024,1,31,-5.07,54.23,0.0,2.0225,ok
2024,2,1,-7.51,49.3,0.0,2.183,ok
2024,2,2,-6.63,59.39,0.0,2.3148,ok
2024,2,3,-3.66,55.85,0.0,2.9112,ok
2024,2,4,-4.91,64.77,0.24,2.0189,ok
2024,2,5,-2.74,65.55,0.42,2.8606,ok
2024,2,6,-2.25,56.42,0.03,2.8214,ok
2024,2,7,-2.86,46.26,0.0,3.6895,ok
2024,2,8,-2.62,49.24,0.0,3.1577,ok
2024,2,9,-1.43,48.63,0.0,2.7125,ok
2024,2,10,-2.12,46.34,0.0,3.8088,ok
2024,2,11,1.69,47.4,0.0,2.8253,ok
2024,2,12,2.74,58.67,0.0,2.9815,ok
2024,2,13,5.62,56.69,0.0,3.2642,ok
2024,2,14,2.96,53.38,0.0,1.7326,ok
2024,2,15,0.41,46.65,0.0,3.9346,ok
2024,2,16,0.58,60.48,0.0,3.6269,ok
2024,2,17,1.86,79.74,0.0,3.0533,ok
2024,2,18,3.94,74.03,0.44,0.5242,ok
2024,2,19,-0.8,28.54,0.0,3.2873,ok
2024,2,20,-3.95,35.46,2.96,1.1544,ok
2024,2,21,-4.0,42.29,3.79,1.5451,ok
2024,2,22,-3.45,39.14,0.06,3.9893,ok
2024,2,23,-2.72,52.09,0.0,3.6653,ok
2024,2,24,-0.81,56.99,0.0,2.7576,ok
2024,2,25,0.22,40.38,0.0,4.5816,ok
2024,2,26,-1.5,48.68,0.0,3.2638,ok
2024,2,27,-0.19,68.61,0.07,2.7821,ok
2024,2,28,0.22,62.63,0.01,1.6536,ok
2024,2,29,-2.07,32.97,0.0,4.4191,ok
2024,3,1,-2.47,39.51,0.0,4.8854,ok
2024,3,2,1.08,39.19,0.0,4.7962,ok
2024,3,3,0.47,45.86,0.0,4.5912,ok
2024,3,4,0.0,59.69,0.08,2.3846,ok
2024,3,5,0.83,68.53,1.81,1.0219,ok
2024,3,6,1.52,45.75,0.01,4.843,ok
2024,3,7,2.04,48.35,0.0,4.0992,ok
2024,3,8,1.74,38.85,0.0,5.5162,ok
2024,3,9,4.32,42.06,0.0,5.0078,ok
2024,3,10,4.86,53.87,0.0,3.2208,ok
2024,3,11,6.86,40.82,0.0,4.6874,ok
2024,3,12,5.47,40.7,0.0,5.177,ok
2024,3,13,8.28,38.47,0.0,4.8365,ok
2024,3,14,9.65,36.69,trace,5.1317,check_precip_text
2024,3,15,10.25,48.35,0.0,4.8,ok
2024,3,16,9.46,44.89,0.2,3.8998,ok
2024,3,17,5.96,39.73,0.12,5.4701,ok
2024,3,18,7.22,44.83,0.0,3.9086,ok
2024,3,19,5.6,28.61,0.0,5.9616,ok
2024,3,20,6.15,36.02,0.0,6.0106,ok
2024,3,21,5.9,59.73,0.07,2.681,ok
2024,3,22,9.77,49.53,0.0,6.0749,ok
2024,3,23,10.86,41.04,0.0,4.3056,ok
2024,3,24,7.6,53.15,3.81,2.2572,ok
2024,3,25,8.57,62.83,0.29,3.8429,ok
2024,3,26,10.07,70.55,0.17,3.3012,ok
2024,3,27,9.56,68.53,1.42,2.0897,ok
